Date,ROVOL_1,ROVOL_1,TAET_1,TAET_1,TAET_1,TAET_1,TAET_1,TAET_1,TAET_1,TAET_1,TAET_1,SURO_1,SURO_1,SURO_1,SURO_1,SURO_1,SURO_1,SURO_1,SURO_1,SURO_1,IFWO_1,IFWO_1,IFWO_1,IFWO_1,IFWO_1,IFWO_1,IFWO_1,IFWO_1,IFWO_1,AGWO_1,AGWO_1,AGWO_1,AGWO_1,AGWO_1,AGWO_1,AGWO_1,AGWO_1,AGWO_1,RAIN_1,RAIN_1,RAIN_1,RAIN_1,RAIN_1,RAIN_1,RAIN_1,RAIN_1
2012-01-01 00:00:00,0.001828549,0.0040461225,0.0040461225,0.0040461225,0.0040461225,0.0040461225,0.0040461225,0.0040461225,0.0040461225,0.0040461225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2012-01-01 01:00:00,0.0018118283,0.003037815,0.003037815,0.003037815,0.003037815,0.003037815,0.003037815,0.003037815,0.003037815,0.003037815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2012-01-01 02:00:00,0.0017952631,0.0035470198,0.0035470198,0.0035470198,0.0035470198,0.0035470198,0.0035470198,0.0035470198,0.0035470198,0.0035470198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2012-01-01 03:00:00,0.0017788495,0.002768185,0.002768185,0.002768185,0.002768185,0.002768185,0.002768185,0.002768185,0.002768185,0.002768185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2012-01-01 04:00:00,0.001762586,0.0025284858,0.0025284858,0.0025284858,0.0025284858,0.0025284858,0.0025284858,0.0025284858,0.0025284858,0.0025284858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2012-01-01 05:00:00,0.001746471,0.0016693401,0.0016693401,0.0016693401,0.0016693401,0.0016693401,0.0016693401,0.0016693401,0.0016693401,0.0016693401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2012-01-01 06:00:00,0.0017305035,0.0018991457,0.0018991457,0.0018991457,0.0018991457,0.0018991457,0.0018991457,0.0018991457,0.0018991457,0.0018991457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2012-01-01 07:00:00,0.0017146819,0.0018991457,0.0018991457,0.0018991457,0.0018991457,0.0018991457,0.0018991457,0.0018991457,0.0018991457,0.0018991457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2012-01-01 08:00:00,0.001699005,0.0019191277,0.0019191277,0.0019191277,0.0019191277,0.0019191277,0.0019191277,0.0019191277,0.0019191277,0.0019191277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2012-01-01 09:00:00,0.0016834713,0.012890432,0.012890432,0.012890432,0.012890432,0.012890432,0.012890432,0.012890432,0.012890432,0.012890432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
